HR,First_Name,Last_Name,Username,Email,Section
762,Barry,Bonds,bbonds,bbonds@mlb.com,2
755,Henry,Aaron,haaron,haaron@mlb.com,4
714,Babe,Ruth,bruth,bruth@mlb.com,1
696,Alex,Rodriguez,arodriguez,arodriguez@mlb.com,2
677,Albert,Pujols,apujols,apujols@mlb.com,5
660,Willie,Mays,wmays,wmays@mlb.com,4
630,Ken,Griffey  Jr.,kgriffey,kgriffey@mlb.com,5
612,Jim,Thome,jthome,jthome@mlb.com,3
609,Sammy,Sosa,ssosa,ssosa@mlb.com,5
586,Frank,Robinson,frobinson,frobinson@mlb.com,2
583,Mark,McGwire,mmcgwire,mmcgwire@mlb.com,5
573,Harmon,Killebrew,hkillebrew,hkillebrew@mlb.com,3
569,Rafael,Palmeiro,rpalmeiro,rpalmeiro@mlb.com,2
563,Reggie,Jackson,rjackson,rjackson@mlb.com,4
555,Manny,Ramirez,mramirez,mramirez@mlb.com,2
548,Mike,Schmidt,mschmidt,mschmidt@mlb.com,4
541,David,Ortiz,dortiz,dortiz@mlb.com,1
536,Mickey,Mantle,mmantle,mmantle@mlb.com,4
534,Jimmie,Foxx,jfoxx,jfoxx@mlb.com,2
521,Willie,McCovey,wmccovey,wmccovey@mlb.com,5
521,Frank,Thomas,fthomas,fthomas@mlb.com,4
521,Ted,Williams,twilliams,twilliams@mlb.com,2
512,Ernie,Banks,ebanks,ebanks@mlb.com,3
512,Eddie,Mathews,emathews,emathews@mlb.com,2
511,Mel,Ott,mott,mott@mlb.com,5
509,Gary,Sheffield,gsheffield,gsheffield@mlb.com,1
504,Eddie,Murray,emurray,emurray@mlb.com,3
502,Miguel,Cabrera,mcabrera,mcabrera@mlb.com,2
493,Lou,Gehrig,lgehrig,lgehrig@mlb.com,1
493,Fred,McGriff,fmcgriff,fmcgriff@mlb.com,3
477,Adrian,Beltre,abeltre,abeltre@mlb.com,5
475,Stan,Musial,smusial,smusial@mlb.com,2
475,Willie,Stargell,wstargell,wstargell@mlb.com,4
473,Carlos,Delgado,cdelgado,cdelgado@mlb.com,3
468,Chipper,Jones,cjones,cjones@mlb.com,5
465,Dave,Winfield,dwinfield,dwinfield@mlb.com,2
462,Jose,Canseco,jcanseco,jcanseco@mlb.com,3
462,Adam,Dunn,adunn,adunn@mlb.com,1
452,Carl,Yastrzemski,cyastrzemski,cyastrzemski@mlb.com,4
449,Jeff,Bagwell,jbagwell,jbagwell@mlb.com,1
449,Vladimir,Guerrero,vguerrero,vguerrero@mlb.com,1
443,Nelson,Cruz,ncruz,ncruz@mlb.com,2
442,Dave,Kingman,dkingman,dkingman@mlb.com,3
440,Jason,Giambi,jgiambi,jgiambi@mlb.com,1
439,Paul,Konerko,pkonerko,pkonerko@mlb.com,4
438,Andre,Dawson,adawson,adawson@mlb.com,1
435,Carlos,Beltran,cbeltran,cbeltran@mlb.com,3
434,Juan,Gonzalez,jgonzalez,jgonzalez@mlb.com,2
434,Andruw,Jones,ajones,ajones@mlb.com,1
431,Cal,Ripken  Jr.,cripken,cripken@mlb.com,4
