first_name,last_name,email,username,course_name,student_id,recitation,section,PARAMS:comment,role
Homer,Simpson,homer@aol.com,homer,Precalculus,12,1,,"hi there",STUDENT
Lisa,Simpson,lisa@google.com,lisa,"Abstract Algebra",23,,,,STUDENT
Lisa,Simpson,lisa@google.com,lisa,"Topology",23,,,,STUDENT
Lisa,Simpson,lisa@google.com,lisa,Arithmetic,23,,,,INSTRUCTOR
Bart,Simpson,bart@aol.com,bart,Precalculus,132,,,,STUDENT
Marge,Simpson,marge@juno.com,marge,Calculus,234,,,,STUDENT
Barney,Gumble,barney@google.com,barney,Precalculus,492,,,,STUDENT
Moe,Szyslak,moe@msn.com,moe,Arithmetic,023,,,,STUDENT
Ned,Flanders,ned@msn.com,ned,Precalculus,0983,,,,STUDENT
Apu,Nahasapeemapetilon,apu@google.com,apu,Abstract Algebra,8939,,,,STUDENT
Waylon,Smithers,smithers@google.com,smithers,Calculus,3298,,,,STUDENT
Ralph,Wiggum,ralph@ralph.com,ralph,Arithmetic,038,,,,STUDENT
Ralph,Wiggum,ralph@ralph.com,ralph,Precalculus,038,,,,STUDENT
Otto,Mann,otto@msn.com,otto,Precalculus,284,,,,STUDENT
Jonathan,Frink,frink@frink.com,frink,Precalculus,,,,,INSTRUCTOR
Jonathan,Frink,frink@frink.com,frink,"Abstract Algebra",,,,,INSTRUCTOR
